compound	140905_32_1_RT_pos.mzML	140905_32_2_RT_pos.mzML	140905_32_3_RT_pos.mzML	140905_2_1_RT_pos.mzML	140905_2_2_RT_pos.mzML	140905_2_3_RT_pos.mzML	140905_2_4_RT_pos.mzML	140905_0_5_2_RT_pos.mzML	140905_0_5_3_RT_pos.mzML	140905_0_5_4_RT_pos.mzML	140905_16_3_RT_pos.mzML	140905_16_1_RT_pos.mzML	140905_16_2_RT_pos.mzML	140905_16_4_RT_pos.mzML	140905_0_1_RT_pos.mzML	140905_0_2_RT_pos.mzML	140905_0_3_RT_pos.mzML	140905_0_4_RT_pos.mzML	140905_1_2_RT_pos.mzML	140905_1_1_RT_pos.mzML	140905_1_3_RT_pos.mzML	140905_1_4_RT_pos.mzML	140905_8_1_RT_pos.mzML	140905_8_2_RT_pos.mzML	140905_8_3_RT_pos.mzML	140905_8_4_RT_pos.mzML	140905_4_2_RT_pos.mzML	140905_4_3_RT_pos.mzML	140905_4_1_RT_pos.mzML	140905_4_4_RT_pos.mzML	
cytidine	 0.00	 0.00	 0.00	 0.00	425579.21	101260.31	102255.10	 0.00	 0.00	 0.00	 0.00	786.37	 0.00	 0.00	 0.00	 0.00	201958.74	305928.84	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	
adenosine	175178.15	216090.55	190129.93	18161445.80	38803513.00	25066449.80	25745221.50	6001376.10	5866969.80	11097211.80	784518.86	470854.36	735415.49	312838.53	11506368.60	7540621.80	21883395.60	26478110.20	6964269.30	7731291.40	6091561.60	9925259.10	3668306.50	3207062.50	3109167.10	3399304.30	7655541.30	5889145.00	8127069.00	5624321.70	
5'-methylthioadenosine	245271.29	172901.92	353268.83	2303474.83	3470728.49	1756267.35	1484072.91	839096.17	606744.97	1752858.77	763343.18	442766.05	787064.65	363581.04	4883659.33	2885990.12	7533434.89	11772850.36	811575.48	608362.22	577035.01	1023111.02	1091153.16	992301.11	975502.10	942439.38	1128466.50	895327.00	1350829.34	1021250.02	
adenosine monophosphate	191744.58	56237.99	83144.27	19369969.29	17678875.51	12492933.46	11786832.27	34682424.40	30068669.40	43278260.75	69635.47	216291.40	106694.60	209305.66	46194039.50	44167451.60	55803263.30	68515464.00	25383768.88	31175993.79	22097919.79	32326055.50	95333.58	90854.96	184366.89	136979.56	1720164.20	752480.06	2119801.85	1036861.61	
2Hex (trehalose, sucrose, cellobiose or lactose?)	22969078.81	24707862.01	28027184.65	27426847.60	27391169.20	19092560.00	18858518.00	17609567.70	18806532.20	23235733.00	31374707.09	27554581.62	30680705.10	22112000.36	19383523.80	18633979.40	17040970.30	20346103.50	17351740.90	21471650.00	17285743.90	19968044.80	25562824.85	25946345.50	25846896.70	23329265.95	28332853.50	20651389.00	25052046.80	19097960.70	
maltose	508470.77	617182.11	843095.84	6673539.10	4655717.10	2664421.41	2210940.98	3732242.70	3843740.00	7933251.90	1598467.94	1194996.58	1724808.56	883941.47	6604296.10	6143533.30	3040082.60	4934190.30	4183424.40	3085132.04	3434595.29	4944836.20	2294182.59	2764006.48	2555698.57	2001804.10	3716278.90	2225808.05	3442976.20	2067316.10	
raffinose	1681171.04	1630795.75	1686090.62	204809.33	8743.85	11329.84	13751.47	425850.27	599827.15	217518.07	1470288.83	1677719.97	1131638.25	1635315.08	27113.94	75754.47	5534.71	6597.67	501400.48	765763.01	486100.63	313703.06	829561.97	784701.94	789891.20	796025.53	707554.79	540400.99	599780.11	556570.33	
thymine	85437.64	89712.65	101100.76	242351.25	255314.39	149305.22	133985.64	8496.50	8791.77	74114.39	94121.26	71696.04	95423.58	59596.15	61698.85	59339.83	70002.69	85795.39	16133.24	4531.45	5517.01	34445.05	180231.66	166005.24	151309.98	174420.04	127507.78	81827.25	222861.63	130038.49	
Uracil	741.69	1177.80	561.47	665.55	 0.00	743.91	 0.00	 0.00	 0.00	1350.22	723.15	1972.67	1875.73	1177.91	738.54	309.14	528.53	721.19	578.93	522.81	1385.72	 0.00	237.50	202.59	1245.93	1184.53	884.14	227.78	1131.06	703.49	
Uridine	247.85	206.23	446.04	 0.00	224.65	347.39	1121.45	810.65	485.48	 0.00	212.28	239.36	213.11	233.20	582.63	1018.93	715.85	771.25	970.91	240.66	756.74	801.01	353.78	548.73	220.00	980.76	462.27	1055.43	1113.58	318.34	
